,bioguide_id,birthdate,cid,comments,congress_office,exit_code,facebook_id,fax,feccandid,first_elected,firstlast,gender,lastname,office,party,phone,twitter_id,votesmart_id,webform,website,youtube_url
10,D000623,1952-03-31,N00030709,,115 Cannon House Office Building,0,RepMarkDeSaulnier,202-225-5609,H0CA10073,2014,Mark Desaulnier,M,DESAULNIER,CA11,D,202-225-2095,RepDeSaulnier,,,https://desaulnier.house.gov,
11,P000197,1940-03-26,N00007360,,233 Cannon House Office Building,0,NancyPelosi,202-225-8259,H8CA05035,1987,Nancy Pelosi,F,PELOSI,CA12,D,202-225-4965,NancyPelosi,26732,http://pelosi.house.gov/contact-me/email-me,http://pelosi.house.gov,https://youtube.com/nancypelosi
12,L000551,1946-07-16,N00008046,,2267 Rayburn House Office Building,0,RepBarbaraLee,202-225-9817,H8CA09060,1998,Barbara Lee,F,LEE,CA13,D,202-225-2661,RepBarbaraLee,8315,http://lee.house.gov/contact-the-office/email-me,https://lee.house.gov,https://youtube.com/RepLee
13,S001175,1950-05-14,N00029649,,2465 Rayburn House Office Building,0,JackieSpeier,202-347-0956,H8CA12171,2008,Jackie Speier,F,SPEIER,CA14,D,202-225-3531,RepSpeier,8425,https://forms.house.gov/speier/webforms/email_jackie.shtml,https://speier.house.gov,https://youtube.com/jackiespeierca12
14,S001193,1980-11-16,N00033508,,129 Cannon House Office Building,0,CongressmanEricSwalwell,,H2CA15094,2012,Eric Swalwell,M,SWALWELL,CA15,D,202-225-5065,RepSwalwell,129529,http://swalwell.house.gov/contact-me/email-eric/,https://swalwell.house.gov,https://youtube.com/ericswalwell
15,C001059,1952-04-13,N00026341,,2081 Rayburn House Office Building,0,RepJimCosta,202-225-9308,H4CA20082,2004,Jim Costa,M,COSTA,CA16,D,202-225-3341,RepJimCosta,3577,http://www.house.gov/formcosta/issue.htm,https://costa.house.gov,https://youtube.com/RepJimCostaCA20
16,H001034,1941-06-27,N00012611,Lost general election,1713 Longworth House Office Building,21,pages/foo/15675385380,202-225-2699,H0CA15148,2000,Mike Honda,M,HONDA,CA17,D,202-225-2631,RepMikeHonda,9674,http://honda.house.gov/contact,http://honda.house.gov,http://youtube.com/RepMikeHonda
17,E000215,1942-12-13,N00007335,,241 Cannon House Office Building,0,RepAnnaEshoo,202-225-8890,H8CA12098,1992,Anna Eshoo,F,ESHOO,CA18,D,202-225-8104,RepAnnaEshoo,26741,https://eshoo.house.gov/email-me/,http://eshoo.house.gov,https://youtube.com/RepAnnaEshoo
18,L000397,1947-12-21,N00007479,,1401 Longworth House Office Building,0,zoelofgren,202-225-3336,H4CA16049,1994,Zoe Lofgren,F,LOFGREN,CA19,D,202-225-3072,RepZoeLofgren,21899,http://lofgren.house.gov/contact/,https://lofgren.house.gov,https://youtube.com/RepZoeLofgren
19,F000030,1941-07-04,N00007312,Retired at end of 114th,1126 Longworth House Office Building,4,pages/foo/7018136294,202-225-6791,H4CA17021,1993,Sam Farr,M,FARR,CA20,D,202-225-2861,RepSamFarr,26745,https://forms.house.gov/farr/webforms/issue_subscribe.html,http://www.farr.house.gov,http://youtube.com/CongressmanSamFarr
20,V000129,1977-04-14,N00033367,,1728 Longworth House Office Building,0,CongressmanDavidValadao,202-226-3196,H2CA20094,2012,David Valadao,M,VALADAO,CA21,R,202-225-4695,RepDavidValadao,120200,http://valadao.house.gov/contact/,http://valadao.house.gov,https://youtube.com/congressmanvaladao
21,N000181,1973-10-01,N00007248,,1013 Longworth House Office Building,0,,202-225-3404,H8CA20059,2002,Devin Nunes,M,NUNES,CA22,R,202-225-2523,Rep_DevinNunes,16725,https://nunes.house.gov/contactform/default.aspx,http://nunes.house.gov,https://youtube.com/RepDevinNunes
22,M001165,1965-01-26,N00028152,,2421 Rayburn House Office Building,0,CongressmanKevinMcCarthy,202-225-2908,H6CA22125,2006,Kevin McCarthy,M,MCCARTHY,CA23,R,202-225-2915,GOPLeader,28918,https://kevinmccarthy.house.gov/contact/email-me,http://kevinmccarthy.house.gov,https://youtube.com/repkevinmccarthy
23,C001036,1938-01-10,N00007232,Retired at end of 114th,2231 Rayburn House Office Building,4,pages/foo/168989481141,202-225-5632,H8CA22089,1998,Lois Capps,F,CAPPS,CA24,D,202-225-3601,RepLoisCapps,16886,https://capps.house.gov/contact-me/email-me,http://capps.house.gov,http://youtube.com/reploiscapps
24,K000387,1966-12-17,N00035820,,1023 Longworth House Office Building,0,RepresentativeSteveKnight,202-226-0683,H4CA25123,2014,Steve Knight,M,KNIGHT,CA25,R,202-225-1956,SteveKnight25,,,https://knight.house.gov,
25,B001285,1952-08-28,N00034254,,1019 Longworth House Office Building,0,RepJuliaBrownley,202-225-1100,H2CA00120,2012,Julia Brownley,F,BROWNLEY,CA26,D,202-225-5811,JuliaBrownley26,59904,https://juliabrownley.house.gov/contact/email-me,http://juliabrownley.house.gov,https://youtube.com/RepJuliaBrownley
26,C001080,1953-07-07,N00030600,,2423 Rayburn House Office Building,0,RepJudyChu,202-225-5467,H0CA32101,2009,Judy Chu,F,CHU,CA27,D,202-225-5464,RepJudyChu,16539,http://chu.house.gov/connect-with-me/email-judy,https://chu.house.gov,https://youtube.com/RepJudyChu
27,S001150,1960-06-22,N00009585,,2372 Rayburn House Office Building,0,RepAdamSchiff,202-225-5828,H0CA27085,2000,Adam Schiff,M,SCHIFF,CA28,D,202-225-4176,RepAdamSchiff,9489,https://schiff.house.gov/email-congressman-schiff1,http://schiff.house.gov,https://youtube.com/adamschiff
28,C001097,1963-03-31,N00033373,,1510 Longworth House Office Building,0,repcardenas,202-225-0819,H2CA28113,2012,Tony Cardenas,M,CARDENAS,CA29,D,202-225-6131,RepCardenas,9754,https://cardenas.house.gov/contact/email-me,https://cardenas.house.gov,https://youtube.com/repcardenas
29,S000344,1954-10-24,N00006897,,2181 Rayburn House Office Building,0,63158229861,202-225-5879,H6CA24113,1996,Brad Sherman,M,SHERMAN,CA30,D,202-225-5911,BradSherman,142,http://sherman.house.gov/contact/contact-congressman-sherman-form,http://sherman.house.gov,https://youtube.com/shermanca27
30,A000371,1979-06-19,N00033997,,1223 Longworth House Office Building,0,reppeteaguilar,202-226-6962,H2CA31125,2014,Pete Aguilar,M,AGUILAR,CA31,D,202-225-3201,reppeteaguilar,,,https://aguilar.house.gov,
31,N000179,1936-12-04,N00006789,,1610 Longworth House Office Building,0,RepGraceNapolitano,202-225-0027,H8CA34068,1998,Grace Napolitano,F,NAPOLITANO,CA32,D,202-225-5256,GraceNapolitano,8393,https://napolitano.house.gov/contact-me/email-me,http://napolitano.house.gov,https://youtube.com/RepGraceNapolitano
32,L000582,1969-03-29,N00035825,,236 Cannon House Office Building,0,RepTedLieu,202-225-4099,H4CA33119,2014,Ted Lieu,M,LIEU,CA33,D,202-225-3976,RepTedLieu,,,https://lieu.house.gov,
33,B000287,1958-01-26,N00009774,Elected Attorney General and resigned,1226 Longworth House Office Building,0,XavierBecerra,202-225-2202,H2CA30143,1992,Xavier Becerra,M,BECERRA,CA34,D,202-225-6235,RepBecerra,26754,http://becerraforms.house.gov/forms/writeyourrep/,http://becerra.house.gov,https://youtube.com/XavierBecerra
34,T000474,1965-04-04,N00036107,,1713 Longworth House Office Building,0,RepNormaTorres,202-225-8671,H4CA35031,2014,Norma Torres,F,TORRES,CA35,D,202-225-6161,NormaJTorres,,,https://torres.house.gov,
35,R000599,1972-08-25,N00033510,,1319 Longworth House Office Building,0,CongressmanRaulRuizMD,202-225-1238,H2CA36439,2012,Raul Ruiz,M,RUIZ,CA36,D,202-225-5330,CongressmanRuiz,136407,https://ruiz.house.gov/email-me,https://ruiz.house.gov,https://youtube.com/repraulruiz
36,B001270,1953-10-03,N00031877,,2241 Rayburn House Office Building,0,RepKarenBass,202-225-2422,H0CA33117,2010,Karen Bass,F,BASS,CA37,D,202-225-7084,RepKarenBass,28963,https://bass.house.gov/contact-me/email-me,https://bass.house.gov,https://youtube.com/RepKarenBass
37,S001156,1969-01-28,N00024870,,2329 Rayburn House Office Building,0,CongresswomanLindaSanchez,202-226-1012,H2CA39078,2002,Linda Sanchez,F,SANCHEZ,CA38,D,202-225-6676,RepLindaSanchez,29674,https://forms.house.gov/lindasanchez/webforms/issue_subscribe.htm,https://lindasanchez.house.gov,https://youtube.com/LindaTSanchez
38,R000487,1951-10-12,N00008264,,2310 Rayburn House Office Building,0,EdRoyce,202-226-0335,H6CA39020,1992,Ed Royce,M,ROYCE,CA39,R,202-225-4111,RepEdRoyce,26772,https://royce.house.gov/contact/contactform.htm,http://royce.house.gov,https://youtube.com/RepEdRoyce
39,R000486,1941-06-12,N00006671,,2083 Rayburn House Office Building,0,RepRoybalAllard,202-226-0350,H2CA33048,1992,Lucille Roybal-Allard,F,ROYBALALLARD,CA40,D,202-225-1766,RepRoybalAllard,26766,http://roybal-allard.house.gov/contact/,http://roybal-allard.house.gov,https://youtube.com/RepRoybalAllard
40,T000472,1960-12-10,N00006701,,1507 Longworth House Office Building,0,RepMarkTakano,202-225-7018,H2CA43245,2012,Mark A Takano,M,TAKANO,CA41,D,202-225-2305,RepMarkTakano,22337,https://takano.house.gov/contact/email-me,https://takano.house.gov,https://youtube.com/RepMarkTakano
41,C000059,1953-06-08,N00007099,,2205 Rayburn House Office Building,0,RepKenCalvert,202-225-2004,H2CA37023,1992,Ken Calvert,M,CALVERT,CA42,R,202-225-1986,KenCalvert,26777,https://calvert.house.gov/contactform/,http://calvert.house.gov,https://youtube.com/RepKenCalvert
42,W000187,1938-08-15,N00006690,,2221 Rayburn House Office Building,0,MaxineWaters,202-225-7854,H4CA23011,1990,Maxine Waters,F,WATERS,CA43,D,202-225-2201,MaxineWaters,26759,https://waters.house.gov/contact/contactform.htm,https://waters.house.gov,https://youtube.com/MaxineWaters
43,H001063,1952-03-30,N00006806,Elected to LA County Brd of Supervisors,404 Cannon House Office Building,12,pages/foo/256471267712118,202-226-7290,H8CA36097,2011,Janice Hahn,F,HAHN,CA44,D,202-225-8220,Rep_JaniceHahn,70502,https://hahn.house.gov/contact-me/email-me,http://hahn.house.gov,http://youtube.com/RepJaniceHahn
44,W000820,1962-05-14,N00035391,,215 Cannon House Office Building,0,RepMimiWalters,202-225-9177,H4CA45097,2014,Mimi Walters,F,WALTERS,CA45,R,202-225-5611,RepMimiWalters,,,https://walters.house.gov,
45,S000030,1960-01-07,N00008274,Lost Senate general,1211 Longworth House Office Building,21,pages/foo/90966961167,202-225-5859,H6CA46033,1996,Loretta Sanchez,F,SANCHEZ,CA46,D,202-225-2965,LorettaSanchez,203,https://lorettasanchez.house.gov/contact-me/email-me,http://lorettasanchez.house.gov,http://youtube.com/LorettaSanchezLive
46,L000579,1941-03-08,N00033274,,125 Cannon House Office Building,0,RepLowenthal,202-225-7926,H2CA00104,2012,Alan Lowenthal,M,LOWENTHAL,CA47,D,202-225-7924,RepLowenthal,16469,http://lowenthal.house.gov/contact/howtocontactme.htm,http://lowenthal.house.gov,https://youtube.com/RepLowenthal
47,R000409,1947-06-21,N00007151,,2300 Rayburn House Office Building,0,pages/foo/78476240421,202-225-0145,H8CA42061,1988,Dana Rohrabacher,M,ROHRABACHER,CA48,R,202-225-2415,,26763,https://rohrabacher.house.gov/contact/email-me,https://rohrabacher.house.gov,https://youtube.com/RepDanaRohrabacher
48,I000056,1953-11-01,N00007017,,2269 Rayburn House Office Building,0,darrellissa,202-225-3303,H0CA48024,2000,Darrell Issa,M,ISSA,CA49,R,202-225-3906,DarrellIssa,16553,http://issa.house.gov/contact/contact-me,https://issa.house.gov,https://youtube.com/repdarrellissa
49,H001048,1976-12-07,N00029258,,2429 Rayburn House Office Building,0,DuncanHunter,202-225-0235,H8CA52052,2008,Duncan D Hunter,M,Hunter,CA50,R,202-225-5672,Rep_Hunter,104308,https://hunter.house.gov/contact-me/email-me,https://hunter.house.gov,https://youtube.com/CongressmanHunter
50,V000130,1961-03-07,N00007021,,1605 Longworth House Office Building,0,RepJuanVargas,202-225-9073,H2CA50026,2012,Juan Vargas,M,VARGAS,CA51,D,202-225-8045,RepJuanVargas,29100,https://vargas.house.gov/contact,http://vargas.house.gov,https://youtube.com/RepJuanVargas
51,P000608,1958-06-17,N00033591,,1122 Longworth House Office Building,0,RepScottPeters,202-225-2558,H2CA52089,2012,Scott Peters,M,PETERS,CA52,D,202-225-0508,RepScottPeters,70351,https://scottpeters.house.gov/contact/email-me,http://scottpeters.house.gov,
52,D000598,1944-04-13,N00009604,,1214 Longworth House Office Building,0,RepSusanDavis,202-225-2948,H0CA49055,2000,Susan A Davis,F,DAVIS,CA53,D,202-225-2040,RepSusanDavis,8168,https://susandavisforms.house.gov/forms/writeyourrep/,https://susandavis.house.gov,
53,B000711,1940-11-11,N00006692,Retired at end of 114th,112 Hart Senate Office Building,4,pages/foo/116513005087055,202-224-0454,S2CA00286,1992,Barbara Boxer,F,BOXER,CAS1,D,202-224-3553,SenatorBoxer,53274,https://www.boxer.senate.gov/contact/shareyourviews.html,http://www.boxer.senate.gov,http://youtube.com/SenatorBoxer
54,F000062,1933-06-22,N00007364,,331 Hart Senate Office Building,0,senatorfeinstein,202-228-3954,S0CA00199,1992,Dianne Feinstein,F,FEINSTEIN,CAS2,D,202-224-3841,SenFeinstein,53273,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me,https://www.feinstein.senate.gov,https://youtube.com/SenatorFeinstein
55,Z000017,1980-01-30,N00029404,,1517 Longworth House Office Building,0,RepLeeZeldin,202-225-3143,H8NY01148,2014,Lee Zeldin,M,ZELDIN,NY01,R,202-225-3826,RepLeeZeldin,,,https://zeldin.house.gov,
56,K000210,1944-04-05,N00001193,,339 Cannon House Office Building,0,,202-226-2279,H2NY03089,1992,Pete King,M,KING,NY02,R,202-225-7896,RepPeteKing,26968,https://peteking.house.gov/contact/email-me,http://peteking.house.gov,https://youtube.com/RepPeterKing
57,I000057,1958-05-30,N00013345,Retired at end of 114th,2457 Rayburn House Office Building,4,RepSteveIsrael,202-225-4669,H0NY02085,2000,Steve Israel,M,ISRAEL,NY03,D,202-225-3335,RepSteveIsrael,55440,https://israel.house.gov/contact/email-me,http://israel.house.gov,http://youtube.com/repsteveisrael
58,R000602,1965-02-15,N00035927,,1508 Longworth House Office Building,0,RepKathleenRice,202-225-5758,H4NY04075,2014,Kathleen Rice,F,RICE,NY04,D,202-225-5516,RepKathleenRice,,,http://kathleenrice.house.gov,
59,M001137,1953-09-25,N00001171,,2234 Rayburn House Office Building,0,gregorymeeksny05,202-226-4169,H8NY06048,1998,Gregory W Meeks,M,MEEKS,NY05,D,202-225-3461,GregoryMeeks,4360,https://meeks.house.gov/contact-me/email-me,http://meeks.house.gov,https://youtube.com/gwmeeks
60,M001188,1975-10-01,N00034547,,1317 Longworth House Office Building,0,repgracemeng,202-225-1589,H2NY06116,2012,Grace Meng,F,MENG,NY06,D,202-225-2601,RepGraceMeng,69157,https://meng.house.gov/contact/email-me,http://meng.house.gov,
61,V000081,1953-03-28,N00001102,,2302 Rayburn House Office Building,0,8037068318,202-226-0327,H2NY00010,1992,Nydia M Velazquez,F,VELAZQUEZ,NY07,D,202-225-2361,NydiaVelazquez,26975,http://velazquez.house.gov/IMA/issue_subscribe.shtml,https://velazquez.house.gov,https://youtube.com/nydiavelazquez
62,J000294,1970-08-04,N00033640,,1607 Longworth House Office Building,0,RepHakeemJeffries,,H2NY10092,2012,Hakeem Jeffries,M,JEFFRIES,NY08,D,202-225-5936,RepJeffries,55285,https://jeffriesforms.house.gov/contact/,http://jeffries.house.gov,
63,C001067,1964-11-21,N00026961,,2058 Rayburn House Office Building,0,repyvettedclarke,202-226-0112,H4NY11138,2006,Yvette D Clarke,F,CLARKE,NY09,D,202-225-6231,RepYvetteClarke,44741,https://clarke.house.gov/contact/email-me,https://clarke.house.gov,https://youtube.com/repyvetteclarke
64,N000002,1947-06-13,N00000939,,2109 Rayburn House Office Building,0,CongressmanNadler,202-225-6923,H2NY17071,1992,Jerrold Nadler,M,NADLER,NY10,D,202-225-5635,RepJerryNadler,26980,https://jerroldnadler.house.gov/forms/writeyourrep/default.aspx,http://nadler.house.gov,https://youtube.com/congressmannadler
65,D000625,1956-11-06,N00036928,Won special 5/5/2015,1541 Longworth House Office Building,0,RepDanDonovan,,,2015,Dan Donovan,M,DONOVAN,NY11,R,202-225-3371,RepDanDonovan,,,https://donovan.house.gov,
66,M000087,1946-02-19,N00000078,,2308 Rayburn House Office Building,0,pages/foo/397176447066236,202-225-4709,H2NY14037,1992,Carolyn B Maloney,F,MALONEY,NY12,D,202-225-7944,RepMaloney,26978,https://maloney.house.gov/contact-me/email-me,http://maloney.house.gov,
67,R000053,1930-06-11,N00000964,Retired at end of 114th,2354 Rayburn House Office Building,4,pages/foo/7390589055,202-225-0816,H6NY19029,1970,Charles B Rangel,M,RANGEL,NY13,D,202-225-4365,CBRangel,26979,https://rangel.house.gov/contact-me/email-me,http://rangel.house.gov,http://youtube.com/RepRangel
68,C001038,1962-03-16,N00001127,,1035 Longworth House Office Building,0,repjoecrowley,202-225-1909,H8NY07046,1998,Joseph Crowley,M,CROWLEY,NY14,D,202-225-3965,RepJoeCrowley,4295,https://crowley.house.gov/contact-me/email-me,http://crowley.house.gov,https://youtube.com/RepJoeCrowley
69,S000248,1943-10-24,N00001813,,2354 Rayburn House Office Building,0,RepJoseSerrano,202-225-6001,H0NY18065,1989,Jose E Serrano,M,SERRANO,NY15,D,202-225-4361,RepJoseSerrano,26981,https://serrano.house.gov/contact-me/email-me,https://serrano.house.gov,
70,E000179,1947-02-18,N00001003,,2462 Rayburn House Office Building,0,RepEliotLEngel,202-225-5513,H8NY19058,1988,Eliot L Engel,M,ENGEL,NY16,D,202-225-2464,RepEliotEngel,26972,https://engel.house.gov/write-your-rep1,https://engel.house.gov,https://youtube.com/engel2161
71,L000480,1937-07-05,N00001024,,2365 Rayburn House Office Building,0,RepLowey,202-225-0546,H8NY20056,1988,Nita M Lowey,F,LOWEY,NY17,D,202-225-6506,NitaLowey,26982,https://lowey.house.gov/contact-form/,https://lowey.house.gov,https://youtube.com/nitalowey
72,M001185,1966-07-30,N00034277,,1027 Longworth House Office Building,0,RepSeanMaloney,202-225-3289,H2NY22139,2012,Sean Patrick Maloney,M,MALONEY,NY18,D,202-225-5441,RepSeanMaloney,139760,https://seanmaloney.house.gov/contact/email-me,http://seanmaloney.house.gov,
73,G000564,1964-05-13,N00031998,Retired at end of 114th,1708 Longworth House Office Building,4,pages/foo/190238567659779,202-225-1168,H0NY20095,2010,Chris Gibson,M,GIBSON,NY19,R,202-225-5614,RepChrisGibson,127042,http://gibson.house.gov/contact/,http://gibson.house.gov,http://youtube.com/repchrisgibson
74,T000469,1949-06-18,N00030196,,2463 Rayburn House Office Building,0,reppaultonko,202-225-5077,H8NY21203,2008,Paul Tonko,M,TONKO,NY20,D,202-225-5076,RepPaulTonko,4403,https://tonko.house.gov/email-form1,https://tonko.house.gov,https://youtube.com/reppaultonko
75,S001196,1984-07-02,N00035523,,318 Cannon House Office Building,0,RepEliseStefanik,202-226-0621,H4NY21079,2014,Elise Stefanik,F,STEFANIK,NY21,R,202-225-4611,RepStefanik,,,https://stefanik.house.gov,
76,H001051,1951-01-25,N00030197,Retired at end of 114th,319 Cannon House Office Building,4,pages/foo/172284859480630,202-225-1891,H8NY24066,2010,Richard Hanna,M,HANNA,NY22,R,202-225-3665,RepRichardHanna,110344,https://hanna.house.gov/email-me,http://hanna.house.gov,http://youtube.com/reprichardhanna
77,R000585,1971-11-18,N00030949,,2437 Rayburn House Office Building,0,RepTomReed,202-226-6599,H0NY29054,2010,Tom Reed,M,REED,NY23,R,202-225-3161,RepTomReed,127046,https://reed.house.gov/contact-me/email-me,https://reed.house.gov,https://youtube.com/CongressmanTomReed
78,K000386,1962-11-09,N00035934,,1620 Longworth House Office Building,0,RepJohnKatko,202-225-4042,H4NY24073,2014,John Katko,M,KATKO,NY24,R,202-225-3701,RepJohnKatko,,,https://katko.house.gov,
79,S000480,1929-08-14,N00001311,,2469 Rayburn House Office Building,0,RepLouiseSlaughter,202-225-7822,H6NY03031,1986,Louise M Slaughter,F,SLAUGHTER,NY25,D,202-225-3615,LouiseSlaughter,26991,https://louise.house.gov/contact-louise,https://louise.house.gov,https://youtube.com/louiseslaughter
80,H001038,1959-10-06,N00027060,,2459 Rayburn House Office Building,0,RepBrianHiggins,202-226-0347,H4NY27076,2004,Brian M Higgins,M,HIGGINS,NY26,D,202-225-3306,RepBrianHiggins,23127,http://higgins.house.gov/contact/email-brian,http://higgins.house.gov,https://youtube.com/CongressmanHiggins
81,C001092,1950-05-20,N00001285,,1117 Longworth House Office Building,0,RepChrisCollins,202-225-5910,H8NY29032,2012,Chris Collins,M,COLLINS,NY27,R,202-225-5265,RepChrisCollins,139770,https://chriscollins.house.gov/contact/email-me,https://chriscollins.house.gov,https://youtube.com/RepChrisCollins
82,G000555,1966-12-09,N00027658,,478 Russell Senate Office Building,0,KirstenGillibrand,202-228-0282,H6NY20167,2009,Kirsten Gillibrand,F,GILLIBRAND,NYS1,D,202-224-4451,SenGillibrand,65147,http://www.gillibrand.senate.gov/contact/,https://www.gillibrand.senate.gov,https://youtube.com/KirstenEGillibrand
83,S000148,1950-11-23,N00001093,,322 Hart Senate Office Building,0,senschumer,202-228-3027,S8NY00082,1998,Charles E Schumer,M,SCHUMER,NYS2,D,202-224-6542,SenSchumer,26976,https://www.schumer.senate.gov/contact/email-chuck,https://www.schumer.senate.gov,https://youtube.com/SenatorSchumer
84,D000197,1957-07-29,N00006134,,2111 Rayburn House Office Building,0,DianaDeGette,202-225-5657,H6CO01141,1996,Diana DeGette,F,DEGETTE,CO01,D,202-225-4431,RepDianaDeGette,561,https://degette.house.gov/contact/send-me-an-email/email-me,http://degette.house.gov,https://youtube.com/RepDianaDeGette
85,P000598,1975-05-12,N00029127,,1727 Longworth House Office Building,0,jaredpolis,202-226-7840,H8CO02137,2008,Jared Polis,M,POLIS,CO02,D,202-225-2161,JaredPolis,106220,https://polis.house.gov/forms/writeyourrep/default.aspx,http://polis.house.gov,https://youtube.com/JaredPolis31275
86,T000470,1956-11-09,N00027509,,218 Cannon House Office Building,0,CongressmanScottTipton,202-226-9669,H6CO03139,2010,Scott Tipton,M,TIPTON,CO03,R,202-225-4761,RepTipton,65403,https://tipton.house.gov/contact-me/email-me,http://tipton.house.gov,https://youtube.com/RepScottTipton
87,B001297,1959-02-16,N00030829,,1130 Longworth House Office Building,0,repkenbuck,202-225-5870,S0CO00237,2014,Kenneth R Buck,M,BUCK,CO04,R,202-225-4676,RepKenBuck,,,https://buck.house.gov,
88,L000564,1954-05-24,N00028133,,2402 Rayburn House Office Building,0,CongressmanDougLamborn,202-226-2638,H6CO05159,2006,Douglas L Lamborn,M,LAMBORN,CO05,R,202-225-4422,RepDLamborn,2698,https://lambornforms.house.gov/contact-form,http://lamborn.house.gov,https://youtube.com/CongressmanLamborn
89,C001077,1955-03-19,N00024753,,2443 Rayburn House Office Building,0,repmikecoffman,202-226-4623,H8CO06138,2008,Mike Coffman,M,COFFMAN,CO06,R,202-225-7882,RepMikeCoffman,1535,https://coffman.house.gov/contact/email-me,http://coffman.house.gov,https://youtube.com/CongressmanCoffman
90,P000593,1953-05-01,N00027510,,1410 Longworth House Office Building,0,RepPerlmutter,202-225-5278,H6CO07023,2006,Ed Perlmutter,M,PERLMUTTER,CO07,D,202-225-2645,RepPerlmutter,2653,https://forms.house.gov/perlmutter/webforms/contact.shtml,https://perlmutter.house.gov,https://youtube.com/RepPerlmutter
91,B001267,1964-11-28,N00030608,,261 Russell Senate Office Building,0,senbennetco,202-228-5097,S0CO00211,2009,Michael F Bennet,M,BENNET,COS1,D,202-224-5852,SenBennetCo,110942,https://www.bennet.senate.gov/?p=contact,https://www.bennet.senate.gov,https://youtube.com/SenatorBennet
92,G000562,1974-08-22,N00030780,,354 Russell Senate Office Building,0,SenCoryGardner,202-225-5870,H0CO04122,2014,Cory Gardner,M,GARDNER,COS2,R,202-224-5941,SenCoryGardner,30004,https://www.gardner.senate.gov/contact-cory/email-cory,https://www.gardner.senate.gov,
93,Y000033,1933-06-09,N00007999,,2314 Rayburn House Office Building,0,RepDonYoung,202-225-0425,H6AK00045,1973,Don Young,M,YOUNG,AK01,R,202-225-5765,RepDonYoung,26717,https://donyoung.house.gov/forms/writeyourrep/,http://donyoung.house.gov,https://youtube.com/RepDonYoung
94,S001198,1964-11-13,N00035774,,702 Hart Senate Office Building,0,SenDanSullivan,,S4AK00214,2014,Dan Sullivan,M,SULLIVAN,AKS1,R,202-224-3004,SenDanSullivan,,https://www.sullivan.senate.gov/contact/email,https://www.sullivan.senate.gov,
